3475.86633 17.354 0.007
3875.93088 17.344 0.008
4588.87695 17.363 0.009
4599.88647 17.326 0.009
4646.69727 17.380 0.009
5266.86395 17.316 0.013
5281.87691 17.411 0.012
5288.79982 17.332 0.018
5643.83457 17.333 0.014
5651.84620 17.373 0.011
5664.82931 17.360 0.011
5670.78831 17.346 0.015
5679.76514 17.377 0.012
5683.77550 17.315 0.011
5687.80405 17.333 0.011
5692.69314 17.323 0.012
5696.67019 17.319 0.014
5707.67160 17.337 0.012
5716.64168 17.331 0.011
5724.75830 17.344 0.014
5739.67442 17.345 0.011
5744.68761 17.376 0.011
5748.64378 17.340 0.010
5766.55017 17.336 0.011
5770.69230 17.402 0.012
5787.50759 17.358 0.014
5793.50568 17.329 0.012
5801.49085 17.317 0.013
5804.48891 17.373 0.011
5815.57936 17.391 0.013
5820.53413 17.366 0.012
5834.49840 17.400 0.011
5985.88444 19.015 0.041
5996.86083 19.670 0.081
6006.85179 20.750 0.122
6011.86002 20.857 0.154
6017.85441 21.573 0.241
6022.83757 21.185 0.299
6032.75885 20.275 0.097
6036.78324 20.182 0.092
6040.85160 19.831 0.057
6049.79349 19.254 0.033
6059.79796 18.801 0.028
6064.78509 18.560 0.018
6076.71108 18.186 0.015
6086.70422 17.924 0.019
6093.71302 17.772 0.014
6100.65841 17.657 0.011
6104.60606 17.645 0.012
6116.63277 17.472 0.011
6121.58791 17.428 0.010
6126.63377 17.378 0.012
6134.64734 17.359 0.013
6141.61564 17.335 0.021
6154.56377 17.326 0.012
6161.57869 17.366 0.013
6169.51977 17.338 0.020
6181.50795 17.320 0.011
6196.50504 17.337 0.013
6371.81930 17.346 0.010
6372.79876 17.334 0.010
6388.84430 17.357 0.011
6391.75071 17.322 0.012
6396.73164 17.383 0.010
6400.77827 17.342 0.010
6404.87777 17.374 0.009
6418.80937 17.357 0.010
6422.81851 17.369 0.012
6431.70420 17.328 0.012
6435.72544 17.327 0.012
6444.74705 17.337 0.011
6448.72192 17.375 0.010
6452.76842 17.399 0.009
6459.67245 17.348 0.010
6468.76197 17.374 0.015
6474.70759 17.366 0.011
6478.62150 17.329 0.010
6486.63671 17.366 0.011
6499.59947 17.323 0.011
6507.69346 17.398 0.014
6511.53214 17.350 0.011
6518.50421 17.357 0.011
6534.55498 17.337 0.010
6558.60450 17.341 0.012
6578.55180 17.367 0.014
6752.86907 17.328 0.009
6760.77326 17.389 0.012
6771.78155 17.385 0.010
6776.89982 17.348 0.010
6804.69120 17.404 0.011
6808.74232 17.372 0.011
6813.79222 17.365 0.012
6817.84551 17.349 0.011
6829.63304 17.335 0.013
6833.67280 17.344 0.011
6839.66586 17.361 0.012
6844.63555 17.337 0.011
6857.60282 17.387 0.011
6864.57473 17.345 0.012
6870.62355 17.339 0.012
6887.50361 17.372 0.011
6891.49369 17.364 0.013
6912.50715 17.324 0.012
7112.80997 17.336 0.012
7117.85358 17.349 0.012
7132.78010 17.367 0.011
7137.82225 17.360 0.011
7142.81209 17.364 0.011
7156.78607 17.394 0.010
7160.76144 17.369 0.010
7164.82269 17.365 0.011
7172.74701 17.340 0.013
7183.68298 17.340 0.013
7188.71787 17.361 0.011
7197.72919 17.374 0.012
7217.61129 17.335 0.013
7223.64304 17.366 0.011
7228.58294 17.355 0.012
7253.54194 17.375 0.011
7265.48647 17.362 0.011
7278.57123 17.373 0.011
7457.86408 17.369 0.011
7486.85886 17.308 0.013
7547.74016 17.335 0.011
7554.69666 17.311 0.012
7569.66669 17.324 0.010
7581.73431 17.317 0.011
7600.57157 17.346 0.012
7607.51600 17.319 0.011
7622.60516 17.324 0.011
7626.60449 17.341 0.012
7637.50165 17.322 0.012
7656.54583 17.361 0.012
7873.85809 17.381 0.011
7905.73869 17.341 0.010
7935.62182 17.371 0.012
7981.57701 17.368 0.012
8233.92686 17.376 0.011
8259.66776 17.354 0.010
8289.78680 17.349 0.010
8308.68405 17.367 0.012
8334.60309 17.370 0.011
8359.59256 17.320 0.012
8375.54454 17.332 0.013
8602.81974 17.358 0.011
8615.89298 17.356 0.010
8644.70398 17.373 0.011
